low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,status,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day,first_transaction_time_year,first_transaction_time_month,first_transaction_time_day
0.01,0.99,500,0.72,0.63,0.45,17.0,15.0,11.0,1.0,1.0,14790,0,26.0,193.0,0.45,36800,7.0,22850,0.3,1420,0.45,1,12.0,15.0,12.0,15.0,0.0,0.0,2.0,2.0,1066039.0,960,5.0,0.0,0,20950,0.0,0,1303.0,83.0,656.0,81.0,10.0,5.0,4.0,13.0,0.0,4.0,11.0,637.0,75.0,32.0,32.0,0.0,11.0,3.0,8.0,0.0,1.0,9.0,34.0,3.0,1.0,0.0,360.0,2800.0,73.0,8.0,9.0,3900.0,2450.0,8300.0,85.0,3.0,3.0,13200.0,9400.0,31.0,35.0,2014,10,26
0.0,0.73,5000,0.09,0.7,0.6970000000000001,28.0,12.0,13.0,4.0,1.0,129900,0,43.0,497.0,0.1,82680,7.0,269120,0.05,1800,0.45,3,6.0,12.0,6.0,12.0,4.0,2.0,4.0,5.0,2.0,8900,15.0,0.0,10000,67530,0.0,0,1930.0,82.0,594.0,74.0,9.0,5.0,4.0,13.0,0.0,7.0,10.0,575.0,77.0,32.0,28.0,2.0,17.0,7.0,10.0,5.0,7.0,10.0,34.0,6.0,2.0,3.0,352.0,2000.0,74.0,10.0,10.0,3500.0,2000.0,19300.0,79.0,7.0,8.0,42000.0,16985.0,38.0,6.0,2013,2,6
0.01,0.79,0,1.24,1.0,0.447,16.0,19.0,13.0,1.0,0.0,31010,0,31.0,302.0,0.7,47010,7.0,560,0.15,1360,0.5,1,19.0,19.0,19.0,19.0,0.0,3.0,3.0,4.0,36538.0,260,5.0,0.0,0,11820,0.0,0,1018.0,83.0,546.0,72.0,24.0,10.0,9.0,33.0,10.0,13.0,21.0,511.0,76.0,44.0,42.0,2.0,20.0,5.0,15.0,3.0,5.0,21.0,52.0,14.0,5.0,0.0,342.0,2300.0,75.0,15.0,17.0,9300.0,2240.0,5000.0,83.0,5.0,7.0,11400.0,5460.0,13.0,9.0,2015,8,7
0.01,0.89,4000,0.07,1.0,0.233,17.0,32.0,18.0,4.0,0.0,13740,0,14.0,91.0,0.3,10720,9.0,3030,0.15,1180,0.5,1,13.0,32.0,13.0,32.0,1.0,0.0,1.0,1.0,104054.0,2000,4.0,0.0,200,20120,0.0,1,517.0,82.0,611.0,73.0,7.0,5.0,1.0,7.0,4.0,6.0,6.0,585.0,73.0,5.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,358.0,1800.0,73.0,3.0,3.0,2000.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,193.0,2016,12,20
0.01,0.99,0,1.13,0.76,0.48,20.0,16.0,17.0,4.0,0.0,22310,0,26.0,246.0,0.5,27150,6.0,9540,0.65,1260,0.5,1,16.0,16.0,16.0,16.0,0.0,5.0,5.0,5.0,0.0,1530,4.0,0.0,0,27700,0.0,1,1217.0,83.0,538.0,77.0,12.0,5.0,6.0,14.0,5.0,9.0,10.0,485.0,79.0,34.0,25.0,3.0,12.0,9.0,3.0,1.0,3.0,12.0,49.0,30.0,0.0,1.0,339.0,3000.0,73.0,3.0,3.0,4100.0,2633.0,18400.0,79.0,9.0,11.0,33600.0,17633.0,4.0,27.0,2015,1,20
0.02,0.98,0,0.21,1.0,0.247,13.0,50.0,15.0,3.0,0.0,4580,0,27.0,221.0,0.3,14300,8.0,17300,0.15,1260,0.5,4,6.0,21.0,6.0,21.0,0.0,2.0,8.0,8.0,33.0,3340,3.0,0.0,2870,7520,0.0,1,900.0,89.0,540.0,80.0,13.0,7.0,3.0,17.0,6.0,11.0,16.0,541.0,74.0,36.0,27.0,2.0,9.0,4.0,5.0,1.0,5.0,18.0,44.0,31.0,0.0,1.0,356.0,2800.0,72.0,5.0,5.0,4500.0,2480.0,21300.0,77.0,4.0,4.0,27600.0,9900.0,3.0,1.0,2015,12,3
0.02,0.98,300,0.6,0.43,0.355,19.0,19.0,14.0,4.0,1.0,6480,0,22.0,189.0,0.5,7110,7.0,910,0.3,910,0.55,1,11.0,19.0,11.0,19.0,0.0,2.0,2.0,3.0,0.0,1040,2.0,0.0,1070,5420,0.0,0,1611.0,89.0,645.0,78.0,11.0,6.0,3.0,18.0,2.0,8.0,14.0,615.0,77.0,31.0,27.0,0.0,16.0,8.0,8.0,1.0,2.0,8.0,35.0,10.0,3.0,0.0,360.0,1700.0,74.0,8.0,9.0,2000.0,1575.0,4700.0,80.0,8.0,10.0,6600.0,4062.0,9.0,7.0,2013,12,22
0.01,0.99,2000,0.87,1.0,0.377,15.0,62.0,17.0,3.0,1.0,39920,0,17.0,181.0,0.55,21660,6.0,33970,0.4,1080,0.55,4,12.0,20.0,12.0,20.0,0.0,1.0,5.0,12.0,0.0,1390,2.0,0.0,0,0,0.0,0,580.0,84.0,532.0,78.0,6.0,5.0,1.0,7.0,1.0,3.0,6.0,494.0,74.0,28.0,21.0,2.0,10.0,4.0,6.0,0.0,1.0,12.0,24.0,23.0,0.0,0.0,307.0,3500.0,74.0,6.0,6.0,5000.0,2533.0,10100.0,78.0,4.0,4.0,15600.0,10275.0,26.0,77.0,2016,10,18
0.01,0.96,0,1.37,0.51,0.486,18.0,21.0,15.0,3.0,0.0,18710,0,29.0,201.0,0.2,36640,8.0,640,0.05,1240,0.5,1,4.0,9.0,4.0,9.0,1.0,3.0,12.0,12.0,83595.0,2040,7.0,0.0,0,22780,0.0,1,1803.0,82.0,536.0,75.0,20.0,11.0,5.0,28.0,7.0,14.0,17.0,484.0,75.0,96.0,72.0,9.0,29.0,8.0,21.0,0.0,3.0,37.0,92.0,90.0,0.0,0.0,360.0,2300.0,74.0,21.0,22.0,6200.0,1957.0,10100.0,79.0,8.0,9.0,20400.0,8187.0,12.0,37.0,2013,6,13
0.02,0.98,300,0.11,1.0,0.22899999999999998,11.0,20.0,18.0,3.0,1.0,13690,0,8.0,55.0,0.45,5650,5.0,3200,0.15,820,0.6,1,10.0,20.0,10.0,20.0,2.0,0.0,3.0,3.0,773711.0,1640,3.0,0.0,1190,17150,0.0,1,304.0,82.0,515.0,82.0,5.0,3.0,1.0,5.0,3.0,4.0,5.0,489.0,75.0,7.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,18.0,0.0,0.0,346.0,500.0,79.0,1.0,2.0,500.0,500.0,8400.0,74.0,1.0,1.0,8400.0,8400.0,3.0,71.0,2017,7,21
0.02,0.98,0,0.43,0.66,0.369,15.0,72.0,41.0,3.0,0.0,16770,0,29.0,161.0,0.55,16210,7.0,3290,0.15,670,0.65,1,10.0,72.0,10.0,72.0,0.0,0.0,5.0,5.0,0.0,1000,9.0,0.0,560,12310,0.0,0,1415.0,84.0,528.0,75.0,7.0,2.0,4.0,7.0,1.0,1.0,4.0,499.0,73.0,26.0,25.0,3.0,11.0,2.0,9.0,1.0,1.0,3.0,28.0,12.0,1.0,0.0,348.0,1600.0,73.0,9.0,9.0,2400.0,1633.0,16500.0,76.0,2.0,3.0,32400.0,18600.0,7.0,23.0,2014,7,6
0.0,0.59,0,3.48,0.92,0.255,19.0,229.0,19.0,4.0,0.0,29010,0,36.0,228.0,0.1,85280,9.0,27980,0.1,3340,0.3,4,14.0,27.0,14.0,27.0,2.0,0.0,7.0,15.0,237.0,10050,4.0,0.0,0,0,0.0,0,1245.0,82.0,492.0,76.0,14.0,6.0,4.0,23.0,13.0,16.0,19.0,471.0,77.0,40.0,30.0,2.0,21.0,11.0,10.0,3.0,5.0,14.0,39.0,22.0,2.0,2.0,350.0,2700.0,74.0,10.0,10.0,9000.0,3080.0,21900.0,79.0,11.0,11.0,39600.0,20454.0,4.0,1.0,2014,12,23
0.01,0.99,2400,1.71,0.57,0.38799999999999996,18.0,16.0,13.0,3.0,0.0,1900,0,24.0,175.0,0.1,53760,8.0,6450,0.05,1080,0.5,3,10.0,13.0,10.0,13.0,2.0,1.0,3.0,4.0,4252.0,4900,4.0,0.0,840,6050,0.0,0,1343.0,82.0,597.0,80.0,12.0,4.0,5.0,16.0,5.0,5.0,10.0,532.0,77.0,24.0,18.0,2.0,10.0,6.0,4.0,1.0,9.0,15.0,27.0,17.0,0.0,2.0,358.0,2600.0,72.0,4.0,4.0,3500.0,1900.0,8100.0,80.0,6.0,7.0,14400.0,6100.0,12.0,9.0,2014,9,16
0.02,0.78,2500,1.9,0.83,0.336,23.0,20.0,15.0,3.0,1.0,15800,0,71.0,311.0,0.3,30640,7.0,1890,0.3,1480,0.45,1,7.0,20.0,7.0,20.0,0.0,2.0,7.0,7.0,499325.0,2950,3.0,0.0,0,16580,0.0,0,2682.0,84.0,617.0,76.0,5.0,4.0,1.0,7.0,2.0,3.0,6.0,587.0,73.0,6.0,5.0,0.0,5.0,3.0,2.0,0.0,0.0,3.0,11.0,7.0,0.0,0.0,349.0,900.0,71.0,2.0,2.0,1000.0,750.0,14000.0,75.0,3.0,3.0,31200.0,15500.0,14.0,104.0,2011,1,16
0.4,0.6,0,1.46,0.69,0.375,9.0,23.0,23.0,3.0,0.0,9740,0,33.0,277.0,0.65,5860,7.0,9090,0.65,150,0.9,4,0.0,23.0,0.0,23.0,0.0,0.0,2.0,7.0,2169.0,840,12.0,0.0,0,0,0.0,1,1528.0,93.0,519.0,82.0,10.0,6.0,3.0,16.0,2.0,3.0,10.0,474.0,79.0,55.0,37.0,9.0,22.0,12.0,10.0,0.0,1.0,21.0,66.0,56.0,1.0,0.0,349.0,1900.0,79.0,10.0,11.0,5000.0,1560.0,10400.0,78.0,12.0,14.0,42600.0,9841.0,21.0,82.0,2014,3,15
0.02,0.96,0,12.35,0.96,0.444,20.0,13.0,12.0,3.0,1.0,290,0,27.0,269.0,0.1,46970,5.0,2000,0.05,940,0.55,1,4.0,13.0,4.0,13.0,3.0,1.0,2.0,3.0,155.0,4970,12.0,0.0,750,18750,0.0,0,913.0,82.0,531.0,74.0,5.0,4.0,1.0,5.0,1.0,5.0,5.0,493.0,74.0,13.0,12.0,2.0,9.0,2.0,7.0,0.0,1.0,3.0,14.0,3.0,0.0,0.0,340.0,1700.0,73.0,7.0,8.0,2500.0,1671.0,6500.0,77.0,2.0,2.0,8100.0,7050.0,10.0,80.0,2015,11,20
0.01,0.91,2000,46.9,0.69,0.263,19.0,42.0,42.0,3.0,1.0,4010,0,22.0,125.0,0.25,45740,8.0,580,0.05,1490,0.55,3,10.0,11.0,10.0,11.0,0.0,1.0,1.0,5.0,167534.0,2180,9.0,0.0,2020,20780,0.0,0,1047.0,82.0,654.0,74.0,15.0,4.0,8.0,21.0,7.0,12.0,16.0,636.0,76.0,38.0,37.0,0.0,18.0,13.0,5.0,7.0,14.0,21.0,46.0,2.0,9.0,0.0,301.0,3000.0,74.0,5.0,5.0,5700.0,3160.0,7000.0,78.0,13.0,15.0,13200.0,6461.0,20.0,6.0,2015,7,9
0.01,0.99,3000,0.91,0.93,0.305,21.0,17.0,14.0,3.0,1.0,17150,0,13.0,113.0,0.55,30300,7.0,9310,0.4,1350,0.4,1,7.0,12.0,7.0,12.0,0.0,4.0,8.0,8.0,0.0,1300,4.0,0.0,1300,11390,0.0,0,495.0,82.0,543.0,71.0,10.0,6.0,3.0,16.0,5.0,6.0,6.0,506.0,73.0,45.0,44.0,2.0,13.0,1.0,12.0,1.0,3.0,13.0,52.0,19.0,1.0,0.0,321.0,1900.0,72.0,12.0,13.0,2700.0,1825.0,21600.0,78.0,1.0,1.0,21600.0,21600.0,5.0,9.0,2017,1,11
0.02,0.93,0,0.7,0.53,0.441,25.0,39.0,23.0,4.0,0.0,13600,0,26.0,183.0,0.2,58330,8.0,18060,0.05,970,0.55,3,16.0,16.0,16.0,16.0,4.0,0.0,4.0,8.0,25.0,7430,7.0,0.0,1590,15970,0.0,0,1560.0,85.0,636.0,80.0,9.0,4.0,3.0,14.0,0.0,0.0,3.0,609.0,75.0,27.0,27.0,0.0,14.0,8.0,6.0,0.0,1.0,14.0,45.0,6.0,0.0,0.0,345.0,1000.0,71.0,6.0,6.0,1500.0,1050.0,9200.0,76.0,8.0,9.0,19800.0,8250.0,152.0,64.0,2014,2,11
0.02,0.98,0,0.38,0.43,0.052000000000000005,7.0,62.0,77.0,2.0,0.0,11130,0,12.0,20.0,0.95,1540,3.0,520,1.0,1230,0.5,1,0.0,62.0,0.0,62.0,0.0,3.0,10.0,10.0,0.0,110,1.0,0.0,0,0,0.0,0,981.0,107.0,620.0,73.0,6.0,2.0,3.0,6.0,2.0,5.0,6.0,575.0,76.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,230.0,1700.0,71.0,1.0,1.0,1700.0,1700.0,18000.0,78.0,1.0,1.0,18000.0,18000.0,10.0,139.0,2015,9,13
0.02,0.97,0,1.33,0.81,0.513,21.0,22.0,21.0,3.0,0.0,28960,0,21.0,202.0,0.6,56050,7.0,2000,0.3,1100,0.5,1,9.0,22.0,9.0,22.0,0.0,1.0,6.0,6.0,7.0,1150,10.0,0.0,1150,23470,0.0,0,863.0,82.0,606.0,74.0,19.0,11.0,6.0,28.0,2.0,13.0,16.0,572.0,76.0,60.0,55.0,3.0,21.0,8.0,13.0,1.0,3.0,18.0,70.0,19.0,1.0,0.0,335.0,2100.0,76.0,13.0,14.0,2800.0,1892.0,37100.0,77.0,8.0,8.0,64800.0,14400.0,22.0,5.0,2016,1,9
0.01,0.99,200,0.23,0.51,0.23,17.0,65.0,22.0,1.0,0.0,12260,0,20.0,92.0,0.3,24050,6.0,4020,0.1,1000,0.55,1,7.0,14.0,7.0,14.0,1.0,0.0,2.0,2.0,1236.0,2620,6.0,0.0,1440,17600,0.0,0,1388.0,86.0,653.0,80.0,8.0,4.0,2.0,14.0,4.0,4.0,7.0,629.0,78.0,14.0,12.0,0.0,7.0,5.0,2.0,0.0,0.0,5.0,32.0,2.0,1.0,0.0,337.0,2100.0,77.0,2.0,2.0,2300.0,1950.0,12900.0,79.0,5.0,5.0,20700.0,10100.0,13.0,107.0,2014,8,2
0.01,0.98,0,1.77,0.93,0.688,21.0,8.0,5.0,3.0,0.0,14850,0,28.0,437.0,0.1,93980,7.0,19710,0.05,1300,0.45,1,8.0,8.0,8.0,8.0,2.0,3.0,5.0,5.0,97.0,5820,6.0,0.0,4190,45490,0.0,0,974.0,82.0,513.0,76.0,17.0,10.0,5.0,24.0,5.0,16.0,23.0,493.0,76.0,45.0,39.0,1.0,10.0,5.0,5.0,2.0,6.0,18.0,86.0,20.0,2.0,3.0,360.0,2400.0,72.0,5.0,6.0,3400.0,2080.0,15800.0,80.0,5.0,6.0,21600.0,11280.0,14.0,7.0,2015,9,20
0.02,0.67,2000,0.89,0.69,0.45399999999999996,19.0,10.0,10.0,4.0,0.0,9880,0,38.0,255.0,1.0,33820,5.0,1920,1.0,1240,0.5,1,0.0,10.0,0.0,10.0,0.0,6.0,6.0,6.0,0.0,0,12.0,0.0,0,11610,0.0,1,1768.0,130.0,512.0,74.0,5.0,2.0,1.0,6.0,2.0,2.0,5.0,483.0,75.0,64.0,44.0,11.0,16.0,6.0,10.0,0.0,4.0,25.0,83.0,132.0,0.0,0.0,358.0,3300.0,70.0,10.0,10.0,6500.0,2520.0,8600.0,78.0,6.0,7.0,13200.0,7700.0,23.0,54.0,2013,7,18
0.01,0.93,1500,1.7,0.55,0.25,21.0,24.0,17.0,4.0,0.0,6750,0,36.0,147.0,0.3,17790,8.0,3040,0.1,1430,0.45,1,5.0,16.0,5.0,16.0,0.0,1.0,2.0,4.0,938.0,2150,5.0,0.0,760,3230,0.0,0,2068.0,86.0,640.0,79.0,5.0,4.0,1.0,6.0,1.0,4.0,5.0,618.0,77.0,24.0,21.0,0.0,8.0,3.0,5.0,1.0,4.0,8.0,25.0,5.0,3.0,0.0,358.0,2300.0,77.0,5.0,5.0,3100.0,2160.0,13500.0,77.0,3.0,3.0,27000.0,17500.0,22.0,5.0,2012,9,21
0.04,0.96,200,0.9,1.0,0.247,16.0,26.0,23.0,3.0,0.0,10030,0,28.0,139.0,0.75,12300,7.0,310,0.65,680,0.65,1,10.0,15.0,10.0,15.0,0.0,2.0,8.0,8.0,0.0,330,5.0,0.0,0,12960,0.0,1,905.0,94.0,528.0,77.0,5.0,3.0,2.0,5.0,0.0,1.0,3.0,458.0,70.0,9.0,4.0,3.0,5.0,1.0,4.0,0.0,3.0,5.0,4.0,30.0,0.0,4.0,268.0,900.0,72.0,4.0,5.0,1100.0,800.0,7200.0,67.0,1.0,1.0,7200.0,7200.0,52.0,35.0,2015,11,28
0.04,0.96,0,0.27,1.0,0.292,12.0,51.0,15.0,2.0,0.0,7470,0,9.0,79.0,0.4,15710,6.0,5890,0.4,940,0.5,3,14.0,22.0,14.0,22.0,1.0,1.0,2.0,2.0,0.0,2020,4.0,0.0,0,9140,0.0,1,336.0,84.0,637.0,76.0,10.0,4.0,4.0,11.0,4.0,5.0,8.0,619.0,74.0,3.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,183.0,1000.0,70.0,2.0,2.0,1400.0,950.0,10800.0,80.0,1.0,1.0,10800.0,10800.0,23.0,130.0,2017,6,19
0.0,1.0,0,1.2,0.8,0.133,10.0,24.0,24.0,2.0,0.0,9010,0,12.0,45.0,0.45,13360,7.0,1630,0.4,1470,0.45,1,13.0,18.0,13.0,18.0,0.0,1.0,2.0,2.0,0.0,1130,2.0,0.0,0,2020,0.0,0,535.0,84.0,523.0,75.0,11.0,7.0,2.0,22.0,1.0,5.0,11.0,493.0,74.0,34.0,29.0,1.0,16.0,7.0,9.0,0.0,0.0,11.0,36.0,7.0,0.0,0.0,315.0,2300.0,70.0,9.0,12.0,5000.0,1877.0,4500.0,79.0,7.0,7.0,7800.0,3871.0,11.0,123.0,2016,12,2
